Survey,TVD [ft] PWP,TVD [ft] Sim,HD[ft] PWP,HD[ft] Sim,,,,,
108,1551.1639,1539.0169,1603.8665,1613.2888,,,,,
109,1551.3232,1539.0693,1611.7817,1621.2217,,,,,
110,1551.4000,1539.1106,1619.8001,1629.2065,,,,,
111,1551.4000,1539.7668,1783.8421,1793.2625,,,,,
112,1551.4000,1540.2332,1947.8841,1957.3193,,,,,
113,1551.4000,1540.5651,2111.9261,2121.3238,,,,,
114,1551.4000,1540.8014,2275.9681,2285.3810,,,,,
115,1551.4000,1540.9695,2440.0101,2449.4383,,,,,
116,1551.4000,1541.0892,2604.0521,2613.4956,,,,,
117,1551.4000,1541.1744,2768.0941,2777.5005,,,,,
118,1551.4000,1541.2351,2932.1361,2941.5579,,,,,
119,1551.4000,1541.2783,3096.1781,3105.6152,,,,,
120,1554.1000,1541.3094,3263.0001,3272.4568,,,,,
121,1554.1100,1541.3032,3267.1005,3276.5581,,,,,
122,1554.1030,1541.2747,3271.1356,3280.5576,,,,,
123,1554.0784,1541.2187,3275.1080,3284.5593,,,,,
124,1554.0358,1541.1349,3279.0202,3288.4564,,,,,
125,1553.9748,1541.0227,3282.8747,3292.3007,,,,,
126,1553.8948,1540.8828,3286.6740,3296.0917,,,,,
127,1553.7954,1540.7160,3290.4206,3299.8291,,,,,
128,1553.6762,1540.5206,3294.1171,3303.5651,,,,,
129,1553.5366,1540.3030,3297.7660,3307.1944,,,,,
130,1553.3762,1540.0621,3301.3698,3310.7694,,,,,
131,1553.1945,1539.7947,3304.9309,3314.3425,,,,,
132,1552.9911,1539.5055,3308.4520,3317.8611,,,,,
133,1552.7655,1539.1955,3311.9355,3321.3250,,,,,
134,1552.5171,1538.8607,3315.3840,3324.7866,,,,,
135,1552.2456,1538.5068,3318.7999,3328.1933,,,,,
136,1551.9505,1538.1347,3322.1857,3331.5451,,,,,
137,1551.6313,1537.7394,3325.5441,3334.8942,,,,,
138,1551.2875,1537.3207,3328.8775,3338.2404,,,,,
139,1550.9186,1536.8859,3332.1884,3341.5315,,,,,
140,1550.5243,1536.4286,3335.4793,3344.8195,,,,,
141,1550.1040,1535.9487,3338.7528,3348.1043,,,,,
142,1549.6572,1535.4546,3342.0114,3351.3337,,,,,
143,1549.1835,1534.9386,3345.2575,3354.5597,,,,,
144,1548.6824,1534.3921,3348.4937,3357.8341,,,,,
145,1548.1534,1533.8324,3351.7226,3361.0527,,,,,
146,1547.5962,1533.2510,3354.9465,3364.2676,,,,,
147,1547.0101,1532.6480,3358.1682,3367.4784,,,,,
148,1546.3947,1532.0233,3361.3899,3370.6851,,,,,
149,1545.7496,1531.3665,3364.6144,3373.9391,,,,,
150,1545.0743,1530.6983,3367.8440,3377.1371,,,,,
151,1544.3683,1529.9973,3371.0814,3380.3819,,,,,
152,1543.6312,1529.2741,3374.3289,3383.6218,,,,,
153,1542.8624,1528.5167,3377.5892,3386.9080,,,,,
154,1542.0616,1527.7365,3380.8648,3390.1889,,,,,
155,1541.2282,1526.9335,3384.1581,3393.4642,,,,,
156,1540.3617,1526.0946,3387.4717,3396.7850,,,,,
157,1539.4618,1525.2189,3390.8081,3400.1507,,,,,
158,1538.5279,1524.3190,3394.1698,3403.5100,,,,,
159,1537.5595,1523.3809,3397.5593,3406.9135,,,,,
160,1536.5562,1522.4034,3400.9792,3410.3607,,,,,
161,1535.5176,1521.4005,3404.4319,3413.8006,,,,,
162,1534.4431,1520.3569,3407.9200,3417.2835,,,,,
163,1533.3323,1519.2558,3411.4460,3420.8590,,,,,
164,1532.1846,1518.1271,3415.0124,3424.4259,,,,,
165,1530.9998,1516.9545,3418.6217,3428.0340,,,,,
166,1529.7772,1515.7368,3422.2765,3431.6828,,,,,
167,1528.5164,1514.4729,3425.9792,3435.3715,,,,,
168,1527.2169,1513.1487,3429.7323,3439.1450,,,,,
169,1525.8783,1511.8133,3433.5385,3442.9086,,,,,
170,1524.5000,1510.4362,3437.4001,3446.7680,,,,,
